toiletries,band aid,brush,comb,deodorant,lipstick,mascara,nail clipper,nail polish,needle,razor,scale,toilet paper,toothbrush,toothpaste,towel,tweezers,mouthwash,shaving cream
-0.043316092,-0.038961746,-0.026281467,-0.031545363,-0.037291672,-0.011157532,-0.02277933,-0.057507023,-0.032845084,0.043346085,0.025805151,0.012180391,-0.05314795,0.002394512,-0.018317489,-0.07076438,-0.013350355,-0.038061988,0.010671811
-0.07613956,-0.06884175,-0.06485755,-0.058608152,-0.03671334,-0.06260344,-0.037502944,-0.061453883,-0.062320594,-0.07451362,0.00678502,-0.058635566,-0.05137387,-0.03963321,-0.03640011,-0.075009316,-0.05006954,-0.06532419,-0.040113635
-0.025756842,-0.05050441,0.006760157,0.034620754,0.015670085,0.016525785,0.013463123,-0.005359106,-0.00528476,0.026106065,-0.030408442,0.016148385,0.012922182,0.004740377,0.021415291,-0.008848454,0.009391175,-0.011173367,-0.00540374
0.031932004,-0.058999106,-0.050619,-0.004057211,-0.038591787,0.03612129,0.013821757,-0.010658409,-0.038064137,-0.00146119,0.012777324,-0.015760701,-0.023808299,-0.03450181,-0.07123175,0.003018856,0.004611242,-0.019187449,-0.042752776
-0.04769502,0.042901672,0.026058782,-0.023674687,0.04302876,0.07356564,-0.01896419,-0.055923007,0.04460559,0.022108108,-0.00699142,-0.05515755,-0.065222204,0.04962612,0.021717738,0.03149585,-0.03563224,0.023222286,-0.06404192
-0.070721336,-0.07748426,-0.061919082,-0.0591608,-0.045781214,-0.043114573,-0.045600347,-0.05021319,-0.018766666,-0.04063843,-0.054921955,-0.063843116,-0.033709537,-0.046148337,-0.053047493,-0.075210206,-0.04572409,-0.06798961,-0.03916819
-0.043188162,-0.07553679,-0.016095981,-0.05903695,-0.06491228,-0.04589168,-0.028760958,-0.051798858,-0.04132356,-0.0400493,-0.026082724,-0.014165578,-0.03553039,-0.04896054,-0.013675541,0.041547157,-0.047727983,-0.05201146,-0.03235629
-0.006404953,-0.067849435,0.03046306,0.01668541,0.021294912,-0.0248964,-0.02916589,-0.016472168,-0.06715726,-0.06889759,-0.053469226,-0.04559791,-0.038556106,0.054682415,-0.05823674,-0.026015867,-0.06669436,0.018735157,-0.05802973
0.06666783,0.07335526,-0.006103742,-0.04853581,-0.018132878,-0.009782991,0.045146946,-0.039669085,0.041764043,0.05151493,0.018581057,0.014617886,0.057121295,-0.001269136,0.05352907,0.04637163,-0.03601155,-0.012664875,0.06108434
-0.033294786,0.029604997,-0.06753908,-0.03650737,0.017151827,-0.0081135,0.027951216,0.034815222,-0.002725857,0.08171514,0.041142024,-0.007333945,-0.024799593,-0.06307457,-0.0545086,-0.010682033,0.072665885,0.052912418,0.042535823
-0.008513065,0.037356433,0.040563807,-0.053826988,0.044466708,-0.075038865,-0.066556096,-0.01793094,-0.043962236,-0.039921198,0.009499805,-0.04047474,0.019152608,0.005035967,-0.044816434,0.024196295,-0.006454313,0.05185112,0.02023951
0.029688792,-0.048546992,-0.066077225,0.002036213,-0.04681339,-0.032616094,0.008751787,-0.0032203,-0.016762713,-0.056128226,-0.026435673,-0.037937813,0.018289395,-0.006312033,-0.05212734,0.06056017,-0.00954356,0.061228845,-0.000332687
0.041893676,-0.003454902,-0.019737381,0.018781383,0.00883357,0.062273376,0.027828684,-0.034884468,0.01720368,-0.042655006,0.02193468,-0.06311828,0.059789255,0.05539144,0.039905064,0.055796284,0.06548873,0.024951037,-0.006080553
0.025137076,0.02840123,0.04070792,0.06126304,0.051264465,0.053030998,0.055055954,0.04689159,0.032496497,0.06930472,0.019112725,0.03700174,0.0553984,0.051034156,0.042669136,0.036827534,0.059619118,0.048862077,0.01636353
