Clothing,armor,boot,button,dress,heel,jacket,jeans,pants,pocket,raincoat,robe,sandals,shirt,shoe,shoelace,sleeve,slippers,sock,suit,sweater,underwear,vest,zipper
-0.09402101,-0.081821434,-0.02665565,0.009469962,-0.0638792,0.067368284,-0.035059292,-0.07518215,-0.059229165,-0.022970468,-0.06543194,-0.039005052,0.018516732,-0.07333075,-0.0027642464,0.0051438143,0.067363635,-0.036394916,-0.015309033,-0.0377228,-0.03883409,-0.08158098,-0.056298874,0.014178003
-0.0011601271,0.047511145,-0.052905194,0.03162794,0.045173902,-0.0026335127,0.011294991,0.022664357,-0.017063554,0.0037570691,-0.07506048,0.05806611,-0.033672582,0.0038901526,-0.055508215,0.03175065,0.06361887,-0.052911103,-0.016788153,0.028826991,0.067072846,0.050823692,0.04703208,-0.04446205
0.024075216,-0.019202363,0.074870266,0.035261825,0.024664307,0.055140574,0.06824317,0.028764816,0.028575415,0.016859857,0.027408117,0.027217295,0.06555003,0.060136124,0.061795138,-0.05328114,0.04249339,0.07550131,0.06954065,0.066099085,0.03178744,0.050963916,0.06434105,0.0015667776
-0.064723864,0.011501273,0.0061803632,0.049452204,-0.028376034,0.07871366,-0.015664792,-0.017882088,-0.017371332,0.07352708,0.0031061848,-0.034667462,0.07115275,-0.02776936,0.027797371,0.0874713,0.04668558,0.026331456,0.07994085,-0.0087248,0.026035845,0.022280307,-0.033407003,0.0664708
0.053026795,-0.011763955,0.055932827,0.0320317,-0.025636364,0.0070212414,-0.02187328,0.028779386,0.048155848,-0.05552167,-0.05551723,-0.05349086,0.020507809,0.077859394,0.054265913,0.04129314,-0.009524396,-0.046596605,-0.037000924,-0.024974851,-0.01833126,-0.04817641,-0.033826016,-0.0051297643
0.004338007,0.05418386,0.02583962,0.079719774,0.024231246,-0.023361804,-0.011623749,0.027311603,0.03752145,0.007644233,0.01599102,0.021496354,0.01599052,-0.0023070474,0.04619769,-0.03651759,0.028105395,0.0238696,0.015626311,0.0002896475,-0.03215429,-0.0019334977,-0.0341295,-0.039613668
-0.04718696,0.016282195,0.0047015147,-0.0014186378,0.02433361,0.06528777,-0.037249304,0.055068683,-0.0054613836,0.074628614,0.046110243,0.020269876,-0.034374774,-0.02837189,-0.01758908,-0.003495957,0.030341074,0.026554648,0.0128860045,0.021442255,0.00715244,0.014175447,-0.049624853,-0.028297096
-0.0065684128,0.023760883,-0.04640092,0.024884336,0.004748336,-0.023025835,0.00060928357,-0.036848232,0.008448099,-0.004666115,-0.018327793,-0.03127526,-0.0364973,0.055709865,-0.006092854,0.02973552,0.039009403,-0.060170375,0.023460446,-0.022363275,0.043456927,-0.014852672,-0.013056452,-0.003086217
0.0935086,0.00049870514,-0.034330945,-0.012762762,0.07901142,0.03504946,0.08054526,0.073142886,0.06975294,-0.051427297,0.07999013,0.067575,0.07464151,0.08511222,0.031042296,0.059011362,0.055058967,0.050124187,0.06804687,0.06712139,0.07898788,0.08157177,0.08438524,0.036088075
-0.06655402,-0.076986566,-0.045002226,-0.057796028,-0.06504858,-0.044951,-0.07939088,-0.00034096456,-0.06133703,-0.08190737,-0.06017554,-0.061693896,-0.062205426,-0.070996895,-0.050274733,-0.05904049,-0.07939941,-0.075309224,-0.06254848,-0.080630645,-0.067026235,-0.033735946,-0.07172282,-0.05094434
-0.015248151,-0.069116674,0.005841809,0.027458504,0.046811663,0.053789314,-0.053007133,0.004134595,-0.037080947,-0.033553556,-0.08377636,0.014390318,-0.0065980917,0.039454404,-0.01411497,-0.071891874,0.008957364,-0.054816198,0.017927282,-0.021854091,-0.02275154,0.019523712,-0.069500834,-0.043076534
0.003852226,0.065821886,0.062412728,0.079172604,-0.02652258,0.035170626,0.013701432,0.018970888,0.06438172,0.024326824,-0.030166848,-0.043492053,0.06750473,0.078962974,0.073774904,0.015894115,-0.0018524794,0.01126291,0.03291259,0.012171072,0.052223455,-0.001229858,0.038701184,0.03987158
-0.039048973,-0.04701531,-0.01033649,0.008803138,-0.023130637,0.0033642491,-0.030554382,-0.06304925,-0.013847181,-0.012892811,-0.027791208,-0.026921272,-0.06614099,0.032789726,-0.004858149,-0.055971824,-0.036972143,-0.050264575,-0.06779527,-0.069294505,-0.044196896,-0.0717027,-0.016104912,0.019648494
0.01098853,-0.00915386,-0.046867847,-0.07255146,0.04364045,-0.0094481595,-0.011591816,0.031896465,-0.03402703,-0.04229134,-0.0018074389,0.06301988,0.06878715,-0.050311305,0.009111045,0.0289441,0.026741918,0.04680522,0.04994672,-0.031476073,0.0041975607,-0.014742832,-0.010977281,-0.048868477
