Non Mammal,ant,bee,beetle,butterfly,caterpillar,crab,dragonfly,eel,fish,fly,frog,goldfish,grasshopper,jellyfish,ladybug,lobster,mosquito,moth,octopus,scorpion,seahorse,shark,snail,snake,spider,starfish,turtle,worm
0.054892663,0.033296093,0.04967084,-0.021905627,-0.014327862,-0.030591032,0.04586295,-0.016663479,0.031626876,0.062358893,-0.013994323,0.05486348,0.03325998,-0.009370623,0.046495713,0.00059776497,-0.011731282,-0.031225288,-0.023887366,0.06819079,-0.031284675,0.07841014,0.063692704,0.06612216,0.04393688,0.06971168,0.055473357,0.044291515,-0.06025091
-0.0035496417,0.028356833,-0.040948547,0.032878365,0.031137552,0.031719614,0.011047735,0.042114303,0.024348756,-0.015398726,-0.05355005,-0.0403633,0.047361616,0.037000686,0.04636018,0.04758456,0.025331857,0.010457913,0.058328785,-0.03305877,-0.033947494,-0.034121104,-0.041168313,0.046478998,-0.0062304214,-0.019689264,-0.025595916,0.019293463,-0.01333605
0.04828814,0.05581799,-0.028701311,-0.02426038,-0.043968543,-0.06635354,-0.013588324,-0.024328759,-0.054242536,-0.078265674,0.015459816,0.0027162584,-0.0666606,-0.014188379,-0.023691028,0.03155567,-0.028125223,-0.034997877,-0.041298557,0.016880294,-0.06856588,-0.012251229,0.051002502,-0.050734174,-0.07138378,-0.026696216,0.040624276,0.014691404,0.0017275639
0.0133604575,-0.059321906,-0.07863335,0.03357332,-0.052462824,-0.023105865,-0.0030970555,0.011083901,-0.01683761,0.023623932,-0.02157672,-0.05463694,0.00018952406,-0.0062583485,0.04729677,0.05915612,-0.020137774,0.0065527284,-0.054926574,0.0034236636,0.059822135,0.06529574,0.0011837686,-0.003264264,-0.03021804,0.027620215,0.04758589,-0.038271423,0.06962899
0.0358278,0.0782864,-0.012849013,0.05522353,0.05505743,0.070700414,0.054538622,0.06988896,0.060211092,0.01888874,-0.010619001,-0.001838816,0.060965706,0.06962025,0.06655447,0.06554173,0.056087915,0.07098204,0.006218738,0.057547327,0.031952556,0.06549529,0.057947617,-0.011906105,-0.07446161,0.005809512,0.054181397,0.052367404,0.0781487
-0.007900943,-0.051125184,-0.03422462,-0.049704526,-0.06347914,-0.03740295,0.0529806,-0.07345712,-0.06452035,0.02091276,-0.04614385,0.026640544,-0.00480803,-0.073404536,-0.059578344,-0.053344242,0.020724941,-0.0290931,-0.06855179,-0.05967075,-0.018839013,-0.047748446,0.027907629,-0.07304698,-0.027798941,0.0154355215,-0.014807613,-0.013631375,-0.015146846
-0.045170296,-0.05132263,-0.07142765,-0.029457694,-0.02457845,0.028323792,0.056657672,-0.03767103,-0.049497794,-0.059115518,-0.007648586,-0.048002712,0.044024456,0.023771996,-0.029256264,-0.04281031,0.059623122,-0.036483116,0.048872862,0.015322789,-0.028808478,0.008174164,-0.057030775,0.048175875,-0.046173234,-0.05157853,-0.004089116,-0.017264832,0.015093108
-0.007924544,0.029057538,0.06764874,-0.012046618,0.014927568,-0.042695988,0.046551116,-0.017917013,0.027501505,0.020719511,-0.039451897,0.053784978,0.045745704,-0.035651717,0.019962043,0.051118392,-0.026854407,0.067958236,-0.010472372,-0.041173324,-0.010833908,0.01720018,0.022524958,-0.04426496,0.019828284,0.00682957,-0.010319859,0.008853975,-0.051395338
-0.022082275,-0.05597157,-0.053896468,-0.023129405,-0.001613289,0.012646472,-0.036492206,0.06644852,0.0038016443,-0.029482413,-0.0037454772,-0.043144718,0.017711936,0.018261287,-0.021781167,-0.035279255,0.03059267,-0.0665128,-0.04756978,0.049517922,-0.01613889,-0.041259002,0.007354569,0.0092022605,0.027632862,-0.074877284,-0.030876584,-0.016846433,-0.010602744
0.012124832,-0.044354707,0.08142752,-0.062327318,0.03941825,-0.0009340592,-0.021686427,-0.028954856,0.059948012,-0.003215422,0.04119432,-0.040516295,0.063209884,-0.026837775,0.004343223,-0.013574647,0.051841747,-0.0180673,0.076500855,0.063363634,-0.051218793,0.05613112,0.05657974,-0.01239086,0.015229146,-0.022399377,-0.01795994,-0.020457549,-0.06436651
