furnishings,barrel,bed,bench,chair,closet,crib,desk,drawer,dresser,globe,hammock,highchair,lamp,mattress,mirror,picture,pillow,plunger,safe,sewing machine,statue,stocking,stool,table,treadmill,vase,wreath,radio
0.047215335,0.066369854,0.04069423,-0.06669867,0.03236798,0.029302109,0.054431807,0.001030161,-0.012671545,0.034264807,0.01482295,-0.00899233,-0.008259137,0.01649843,-0.010783168,-0.024990655,-0.044075444,0.00873627,0.02316699,0.07377121,-0.06304658,0.06216425,0.019461287,0.013893997,0.001921101,-0.010422046,0.048439283,0.033008315,0.020334147
0.06227212,-0.032097284,0.08372223,0.0508824,0.056175992,0.00684609,0.07056288,-0.018595483,-0.07126918,0.005900318,-0.04457138,0.053616155,0.071014024,0.08161857,0.068085045,0.032654785,-0.028763574,0.06996835,0.050116193,-0.011425397,0.0718613,-0.007549614,-0.03602295,0.07790161,-0.026792267,0.040653538,0.03826984,0.021579916,0.024523854
-0.016125426,-0.018671518,0.013782733,-0.037845064,0.030111918,0.0131587,-0.04874585,-0.028487714,0.002471201,-0.03196695,-0.012184563,0.026364,0.005983578,0.05369494,0.003839315,-0.030700663,-0.054292645,-0.024787812,0.01858538,-0.08222352,0.014173709,-0.073369905,0.029200263,-0.0444346,-0.031762246,-0.047397673,0.012806204,-0.024101088,-0.04746789
-0.015766593,0.012615728,0.026317663,-0.05507197,-0.047632605,0.013684921,-0.005598185,0.020184347,-0.03015364,-0.03751166,0.043123975,-0.036828224,-0.06992443,-0.027715163,-0.00202525,0.025494525,0.054853346,-0.028552147,-0.06290874,0.08107498,-0.023969099,0.054910958,-0.00135625,-0.005245039,0.006466208,-0.01606997,-0.037817895,0.010738789,0.020525044
0.047502056,-0.0492718,0.06217801,0.065973274,-0.05840245,-0.014883637,0.05570848,0.037175152,-0.036466554,0.06139496,0.053859662,0.06435067,-0.07459764,-0.004527426,0.052063566,-0.014493577,-0.025920141,0.04279626,0.008852246,0.024684995,0.04882991,-0.050060444,0.05852175,-0.08213329,-0.085392445,0.06022446,-0.049178842,0.03713159,0.032379664
-0.037841137,0.008822533,0.002931669,0.017505024,-0.054713733,-0.031705648,0.023352576,-0.003833925,-5.21E-05,-0.033621248,-0.020029673,-0.021079704,0.000978803,-0.013775854,-0.03989334,0.017273853,0.016672743,-0.02893714,0.03416157,0.03271425,0.029166685,-0.036420275,-0.038926538,-0.011176291,0.03809149,0.024923416,-0.03830854,-0.00911128,-0.01674897
0.036651116,0.038154993,0.010633492,-0.023287304,-0.008178096,-0.023029966,-0.0793501,0.015583805,0.025590686,0.010438131,-0.037781127,0.07177163,-0.049598712,0.030232977,0.013228754,0.015998207,-0.036747314,0.05276517,0.01905278,-0.010737386,-0.006839898,0.03131099,0.02815039,-0.06203923,-0.029305756,-0.02176888,-0.053225547,0.016092096,-0.025295809
-0.009068156,0.072887376,0.052106496,0.06928262,0.06552087,0.062367152,0.051948935,0.077326916,0.030767106,0.060864285,0.031508062,0.077389844,0.06521222,0.055664115,0.05590356,0.017392235,0.015820676,0.036328606,0.007164611,0.00309531,0.03797554,-0.050208833,-0.003104321,0.047711425,-0.00030288,0.021570068,0.04785741,0.047216292,0.004287326
-0.011086052,-0.049633812,0.026679596,-0.062167395,-0.015891483,-0.027707852,0.05770918,-0.0626822,-0.058462452,-0.009339821,-0.005344621,0.05840876,-0.019203398,0.05670399,0.054107092,-0.03952209,-0.026961759,-0.07100537,0.015847417,-0.005775112,0.030558176,-0.07876355,-0.021664701,0.069404855,-0.010468377,0.044107523,-0.025286114,-0.042634662,0.06371954
-0.021806248,0.03506462,-0.012367759,-0.007153994,-0.013455747,-0.048485212,0.020459741,-0.000651321,0.011764362,0.00791788,0.004790061,0.018100912,-0.005477159,-0.028599462,-0.031306997,-0.027316337,0.008364785,-0.039309435,-0.027095467,0.06478351,-0.027164487,-0.038664266,0.02540071,0.03357098,0.039209116,-0.027798474,-0.042068336,0.02667602,-0.020441879
