Mythical & Mystical,alien,angel,arrow,bow,crown,dinosaur,dragon,fairy,genie,ghost,halo,hook,king,knight,map,mermaid,monster,mummy,pirate,queen,skeleton,snowman,sword,treasure chest,unicorn,witch,wizard
0.08054372,0.07084908,0.05535701,0.037343495,0.06009842,0.022920655,0.07561512,0.08455589,0.06873502,0.000660826,0.08602968,0.06015436,0.021106148,0.06365379,0.063463986,0.0035419962,0.07896948,0.07125575,0.08242187,0.06707158,0.07572875,0.08774078,0.066470355,0.07998266,0.076916575,0.056591567,0.07484974,0.0701696
0.033793792,0.0526716,-0.020151986,-0.049922373,-0.0009113207,0.07365753,0.040132266,0.019520847,0.021035656,0.049800113,-0.03983524,0.05280983,0.018143952,-0.040220078,0.040018275,-0.059159447,0.019509088,0.021934941,0.02406876,-0.06340428,0.032936256,-0.073395476,-0.07204528,0.066349424,-0.023467861,0.06329931,-0.030829787,-0.034439154
-0.019290064,0.021587195,-0.026961127,0.048449,-0.010184011,0.005606701,0.04365992,0.046851736,0.008037673,0.054982264,0.07942937,-0.05952374,0.05587783,-0.008456278,0.015415225,-0.038906697,0.038311746,0.031732112,-0.031466845,0.007825189,0.023979694,-0.018269897,0.06192702,0.0134048695,-0.013433886,0.05683964,0.007380282,-0.039897684
-0.05174665,-0.022796461,-0.030120851,0.016566722,0.025007265,0.030758334,-0.07816926,-0.017649706,-0.023465717,0.00022560827,-0.03952954,-0.054307748,-0.035633154,-0.05001847,-0.015055425,0.07960437,0.019308213,-0.023683548,-0.059025757,-0.041792348,0.00066445326,-0.05118613,-0.007677089,-0.034683965,0.022146948,-0.06671345,-0.0053539746,-0.029421235
-0.02042623,-0.033538524,-0.011463434,0.001897214,-0.0015645329,-0.03452217,0.0094822515,-0.011313432,0.036340564,-0.011447874,-0.016340045,-0.070629165,0.039758235,-0.057464257,0.07308832,0.0033409607,0.040568713,-0.061424505,-0.030892707,-0.033767357,0.07268564,-0.06333555,-0.016734626,0.0074358406,0.050439235,-0.069484614,-0.06720539,-0.058065776
-0.07831225,-0.041854076,-0.056503005,0.031308528,-0.00483481,-0.0023014129,-0.04778194,0.021224229,-0.029203046,-0.04962956,-0.033992536,-0.012229698,0.0102672735,-0.0069921743,-0.008222437,0.016585562,-0.047737278,-0.005867931,-0.06178466,-0.044130135,-0.01694223,-0.025481002,-0.061874855,-0.009668019,-0.051683415,-0.013770243,-0.036338728,-0.02631518
0.01383219,0.00064923696,-0.009889877,0.01248371,0.051471476,0.013515779,0.05236773,0.013637211,-0.04782624,0.00014674912,-0.0033509303,0.0219515,0.05925836,0.05383193,0.040587924,-0.0136327045,0.031962384,-0.035559446,-0.09210046,-0.0060851495,0.025793301,-0.07450873,-0.027540222,0.03286889,-0.056046106,0.04813979,0.020517798,-0.019661266
-0.049633056,-0.053392142,0.03814017,0.071807824,0.048425533,0.06700252,0.006233504,0.05816606,0.037895296,0.075170234,-0.08180633,-0.009201658,0.08019165,0.04347496,0.04759305,0.036268592,-0.03046797,-0.04534414,0.00847657,-0.020661645,0.05770331,-0.060692992,0.0077074943,-0.00894093,-0.00061810215,0.025460958,-0.04625147,-0.000917384
-0.060271017,0.005563038,-0.0741784,0.0569966,0.022655973,-0.00037415334,-0.008397507,-0.033355214,-0.077150434,0.060149882,0.04215191,-0.061576445,-0.014581011,0.054633148,0.03592506,-0.039741118,0.053197347,-0.0763303,-0.08115817,0.042018466,-0.014230722,-0.08130544,0.008755209,-0.053499207,-0.020801773,-0.029770896,-0.058044925,-0.028260656
-0.010704698,0.016086012,0.015817953,0.039778948,0.0073850485,0.06385891,-0.08060348,0.012083064,-0.011413832,-0.0021277976,-0.05433619,-0.07574001,-0.011784978,0.043715417,-0.04245391,0.019368337,-0.0031295547,-0.033601012,-0.059183367,-0.03347481,0.0075214426,0.0022926992,-0.06599853,-0.047959138,0.05656309,0.00022618326,-0.046154376,-0.051059876
