Structure,birdbath,birdhouse,bleachers,bridge,ceiling,chimney,closet,crosswalk,door,elevator,fence,ferris wheel,fire hydrant,fireplace,flag,fountain,garage,gate,mailbox,maze,road,roller coaster,roof,sidewalk,sign,stage,statue,tunnel,well,window
-0.046932258,-0.026071664,0.05588111,-0.03521505,0.014956694,0.015250625,0.009604777,-0.014883631,0.03856186,0.01101485,-0.0026920997,0.0021900844,0.045156043,0.013358922,0.03492739,-0.0056805974,-0.04544873,-0.0032723497,0.032737274,0.023466967,-0.023732686,-0.05819956,-0.025948554,-0.062293135,0.015746359,0.01121021,0.0061880574,-0.05006042,-0.0052015698,-0.036385927,-0.02938804
-0.0015402698,0.033179566,0.044257987,-0.028302213,-0.0057083187,-0.0026389437,0.028934604,-0.03170564,-0.05342465,-0.024337595,-0.026903985,-0.0016526179,-0.044392016,-0.0026979134,0.03979256,-0.00378144,0.012570727,0.047431696,0.07097762,0.04171302,-0.0045533245,-0.018623501,-0.027829064,0.028057033,-0.03800722,-0.038211294,-0.0287083,-0.036420275,0.008730015,0.04580349,0.04753541
0.015782926,0.021636123,-0.0050832992,0.008456543,0.01331413,-0.0010197484,-0.059705507,-0.023029959,0.016065607,0.046751466,0.02199751,0.07660034,-0.014344374,0.070541404,-0.062295906,0.056389596,0.037170902,-0.06022946,0.055266116,0.030612167,-0.017935967,-0.032059684,0.018802267,-0.00070731045,-0.035106983,0.03570678,-0.061909616,0.031310994,-0.012797506,-0.033929124,0.016843822
0.05794415,-0.014605803,0.03583507,0.0060647745,0.031879455,0.06224045,0.055663332,0.062367152,0.0071139815,0.04147644,-0.003691137,0.07433847,0.013927753,0.037147477,0.059702497,-0.010188114,0.06921568,0.06636623,0.083933674,0.06203626,0.07179894,0.08562008,-0.0033580754,0.08143309,0.029758029,-0.026480258,-0.010294676,-0.05020883,0.06687667,0.042007204,0.01760129
-0.07196704,0.016130367,-0.035651203,-0.07050336,0.023195133,0.04252744,0.030521553,-0.027707793,0.07943459,0.065566085,-0.009160479,0.04318869,-0.006266296,0.060983174,0.025452634,0.07009814,0.03164295,0.059893068,0.03922949,-0.0064049168,-0.071331255,-0.05132843,-0.022329904,0.058296427,-0.01095797,0.09544428,-0.013148911,-0.07876355,-0.006958884,0.005582732,0.0402693
0.022432394,-0.047084775,-0.055126045,-0.09322549,-0.043574486,-0.022941325,0.023558665,-0.048485257,-0.06368223,-0.057401218,-0.016944403,-0.03409317,-0.06762353,-0.040995173,-0.005444292,0.028193131,-0.07870773,-0.021140968,-0.047022652,0.011834421,-0.060507342,0.03848509,0.0065261344,-0.03545944,-0.07661582,0.032562334,-0.05517468,-0.038664278,-0.024258617,-0.0051740706,-0.03884432
-0.013219483,0.03302468,0.02810017,0.024623306,-0.026460227,-0.028042454,0.024922052,-0.03636209,-0.0036017986,0.014887535,0.026320899,-0.053292207,0.039421026,-0.03249213,-0.044692963,0.068420894,0.029399162,-0.017601734,-0.016422736,-0.011344192,-0.0028452345,-0.063246496,-0.028666638,-0.033132818,0.038171764,-0.042680524,0.0016823631,-0.040602334,0.003511506,-0.037094485,-0.035317916
0.051173925,-0.007045953,0.018881356,0.08604769,0.066437565,0.026916858,0.07175044,0.021307182,0.033345442,0.07059057,0.065202035,0.014065415,-0.0013759866,-0.03891008,0.06595831,0.013399075,-0.029770758,0.059048273,0.021622742,0.057398718,0.010254344,-0.025135804,0.022701105,0.07503165,0.037112977,0.0305129,-0.000107567124,-0.0009982527,0.015987787,0.012534139,-0.07600229
0.032028317,-0.054400966,0.023808768,-0.045686826,0.03882174,-0.031016424,0.0024037885,0.007928019,-0.0010410413,-0.049471114,-0.05707445,-0.0326632,-0.04414812,-0.071642466,0.012184534,0.008315561,-0.009365805,0.02500979,-0.06466854,0.02590837,-0.07663402,0.054077797,-0.045840655,-0.061486397,0.024167018,0.026903555,0.03616061,-0.0064050145,-0.007843577,0.019841125,-0.044338256
0.020191327,-0.009029924,-0.026651837,0.027747286,-0.014603539,-0.055589333,-0.034836058,-0.07601111,-0.0017804893,-0.009324227,0.052918665,-0.0044957087,0.011799771,-0.0074577373,-0.026548015,-0.034998175,0.018597843,0.0051539107,0.032319788,-0.0010881096,-0.011245504,-0.05232196,-0.0050722864,-0.02676679,-0.004093184,0.017026823,-0.015229757,0.05921191,0.018832205,0.00056618504,-0.07745109
0.0006280234,-0.06553298,-0.05976686,-0.051369123,-0.017621323,-0.06781442,-0.044421762,-0.06880769,0.049035568,-0.06377461,-0.064951465,0.023729555,0.042544648,0.012859054,-0.02149525,0.01231957,0.013451459,-0.07387318,0.0007584851,-0.06301165,0.006372562,-0.041976176,0.04608653,-0.04865821,0.04460316,-0.039491914,-0.0803191,0.0030746302,-0.07339081,-0.034688044,-0.005776977
-0.03453654,0.0028644688,-0.0056459825,0.08431301,0.060234312,-0.05214164,0.030441789,-0.054961417,0.07375362,0.018216297,0.028745972,0.057702836,0.018322002,0.05092042,0.045160547,0.035552736,0.07192358,0.060637727,0.047747083,0.011247682,0.023444548,-0.067712,-0.050749816,0.0046196547,0.080359265,0.024391076,0.055019584,0.02222607,0.074700534,0.04068138,-0.0093842
