parts of buildings,attic,bathroom,brick,cabinets,ceiling,chimney,curtains,door,faucet,fence,fireplace,garage,gate,kitchen,light switch,mailbox,roof,shower,sink,tile,toilet,window,chandelier,elevator
0.07092332,0.052987956,0.027854115,0.012202721,0.01186144,0.0012608,0.025811365,0.018349415,0.014549746,-0.013031262,0.0469061,0.030092813,0.031972017,0.046180233,0.03920998,0.023719316,0.015654555,-0.008520803,0.015957758,0.032530818,-0.000761299,0.026369464,0.008900521,0.029197078,0.070407316
-0.010190218,-0.038200695,-0.024459573,-0.010134229,-0.016868556,0.061213933,-0.07122479,0.040056802,-0.057754576,-0.019002378,0.06555778,-0.0547915,-0.008028561,0.028110461,-0.009383494,-0.0123113,-0.040468477,-0.01582144,-0.006752724,-0.011997773,0.05059904,0.06526886,-0.064992085,0.019277371,0.002747202
-0.00869407,-0.01986124,0.015637798,-0.048955116,-0.029553188,0.05986598,0.029814355,-0.031625792,-0.000110336,0.023523184,0.008756339,0.02180813,-0.021931212,-0.026581844,0.033113677,0.050405104,0.050799392,-0.044626765,-0.04713229,-0.055493027,0.005657091,0.06407918,-0.03803071,0.040378526,0.004321643
0.002074288,0.021075107,-0.018751,-0.01971558,-0.016582808,-0.000840735,-0.040248726,-0.017013455,-0.031482413,-0.008363653,0.005868373,-0.015745983,-0.012193215,-0.05114276,0.030105945,0.044174295,0.059858374,-0.06553268,-0.004680738,0.039683893,0.044023678,-0.04028997,0.01375355,-0.07252548,0.045841463
0.06747256,-0.029255647,0.046917118,-0.051991805,-0.055692263,0.015250596,0.009604769,0.01729491,0.011014881,-0.034053847,0.00219002,0.03492742,-0.003272298,0.032737277,-0.0876407,0.04512245,0.023466978,-0.062293116,0.06349838,-0.043988287,0.010701247,0.037039056,-0.029388117,0.018198786,-0.002692103
-0.000634383,0.049225368,-0.03269345,0.04291102,0.024810307,-0.002638983,0.028934598,0.019877208,-0.024337653,0.048782364,-0.00165263,0.039792538,0.047431722,0.07097765,-0.008034926,0.010648579,0.04171303,0.028057063,0.008515636,0.007518334,0.05957795,-0.002101884,0.047535416,-0.018184563,-0.026903985
-0.018574446,-0.08617971,-0.006436091,-0.033042476,-0.009055272,-0.001019727,-0.0597055,0.060853016,0.046751488,0.020668238,0.07660035,-0.0622959,-0.060229477,0.055266105,-0.010882382,0.04900748,0.030612156,-0.000707276,0.050127596,0.03115887,0.033448063,-0.025468247,0.016843833,0.008151609,0.021997506
-0.03557159,0.000586768,0.05347533,0.07671222,0.04906627,0.06224043,0.055663336,0.020523893,0.041476455,0.00758185,0.07433848,0.05970251,0.06636622,0.08393367,0.061435215,0.044128645,0.06203627,0.08143307,0.055877607,0.050269183,0.07355808,0.06407041,0.017601255,0.045023628,-0.003691112
-0.016784145,-0.001857413,0.08484571,-0.02485858,-0.00958511,0.042527433,0.030521542,0.070772775,0.06556607,0.07055036,0.043188695,0.025452659,0.059893064,0.03922948,0.05322386,0.05546612,-0.006404884,0.058296416,-0.035887424,-0.020267675,0.017888514,0.018605504,0.040269308,0.01769613,-0.009160461
-0.015584206,-0.058786426,-0.0600903,-0.031017277,0.034611713,-0.022941332,0.02355868,-0.05701228,-0.057401206,-0.058450993,-0.034093175,-0.005444305,-0.021140974,-0.04702263,-3.25E-05,-0.064529836,0.011834362,-0.03545947,-0.05519412,0.017544761,0.014349171,0.046469405,-0.03884429,-0.02720552,-0.016944457
0.08830555,-0.032625463,-0.034469664,0.053606488,0.036206506,-0.028042443,0.02492205,0.04192138,0.014887528,-0.034750916,-0.05329224,-0.04469297,-0.017601758,-0.016422775,0.000203715,-0.009026418,-0.011344159,-0.0331328,-0.07292297,-0.040971797,-0.010440566,0.061873984,-0.035317894,0.05202176,0.026320871
